_id;gml_id;aasqa;date_maj;partition_field;etat;lib_zone;lib_pol;date_ech;date_dif;code_zone;code_pol
65dff5311c41b960f8a83a26;7685469;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;NO2;29/02/2024;28/02/2024;2004;8
65dff5311c41b960f8a83a27;7685520;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;O3;29/02/2024;28/02/2024;2004;7
65dff5311c41b960f8a83a28;7685522;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;SO2;29/02/2024;27/02/2024;2004;1
65dff5311c41b960f8a83a29;7685555;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM10;29/02/2024;28/02/2024;2004;5
65dff5311c41b960f8a83a2a;7685582;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;NO2;01/03/2024;29/02/2024;2004;8
65dff5311c41b960f8a83a2b;7685608;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;O3;01/03/2024;29/02/2024;2004;7
65dff5311c41b960f8a83a2c;7685633;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM2.5;01/03/2024;29/02/2024;2004;6001
65dff5311c41b960f8a83a2d;7685638;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;SO2;01/03/2024;29/02/2024;2004;1
65dff5311c41b960f8a83a2e;7685657;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM10;01/03/2024;29/02/2024;2004;5
65dff54d1c41b960f8a83a2f;7685172;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM2.5;27/02/2024;26/02/2024;2005;6001
65dff54d1c41b960f8a83a30;7685192;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM10;27/02/2024;26/02/2024;2005;5
65dff54d1c41b960f8a83a31;7685204;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;O3;27/02/2024;26/02/2024;2005;7
65dff54d1c41b960f8a83a32;7685226;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;NO2;27/02/2024;26/02/2024;2005;8
65dff54d1c41b960f8a83a33;7685261;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;SO2;27/02/2024;26/02/2024;2005;1
65dff54d1c41b960f8a83a34;7685267;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM10;28/02/2024;27/02/2024;2005;5
65dff54d1c41b960f8a83a35;7685285;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;SO2;28/02/2024;27/02/2024;2005;1
65dff54d1c41b960f8a83a36;7685308;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;O3;28/02/2024;27/02/2024;2005;7
65dff54d1c41b960f8a83a37;7685355;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;NO2;28/02/2024;27/02/2024;2005;8
65dff54d1c41b960f8a83a38;7685360;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM2.5;28/02/2024;27/02/2024;2005;6001
65dff54d1c41b960f8a83a39;7685395;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM10;29/02/2024;28/02/2024;2005;5
65dff54d1c41b960f8a83a3a;7685396;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;O3;29/02/2024;27/02/2024;2005;7
65dff54d1c41b960f8a83a3b;7685414;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM10;29/02/2024;27/02/2024;2005;5
65dff54d1c41b960f8a83a3c;7685423;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;SO2;29/02/2024;27/02/2024;2005;1
65dff54d1c41b960f8a83a3d;7685431;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;SO2;29/02/2024;28/02/2024;2005;1
65dff54d1c41b960f8a83a3e;7685443;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM2.5;29/02/2024;27/02/2024;2005;6001
65dff54d1c41b960f8a83a3f;7685457;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;NO2;29/02/2024;28/02/2024;2005;8
65dff54d1c41b960f8a83a40;7685529;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM2.5;29/02/2024;28/02/2024;2005;6001
65dff54d1c41b960f8a83a41;7685550;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;O3;29/02/2024;28/02/2024;2005;7
65dff54d1c41b960f8a83a42;7685576;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;NO2;29/02/2024;27/02/2024;2005;8
65dff54d1c41b960f8a83a43;7685593;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM2.5;01/03/2024;29/02/2024;2005;6001
65dff54d1c41b960f8a83a44;7685606;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;NO2;01/03/2024;29/02/2024;2005;8
65dff54d1c41b960f8a83a45;7685625;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;O3;01/03/2024;29/02/2024;2005;7
65dff54d1c41b960f8a83a46;7685656;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;SO2;01/03/2024;29/02/2024;2005;1
65dff54d1c41b960f8a83a47;7685669;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Est Drôme;PM10;01/03/2024;29/02/2024;2005;5
65dff5681c41b960f8a83a48;7685177;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;O3;27/02/2024;26/02/2024;2006;7
65dff5681c41b960f8a83a49;7685193;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;PM2.5;27/02/2024;26/02/2024;2006;6001
65dff5681c41b960f8a83a4a;7685234;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;NO2;27/02/2024;26/02/2024;2006;8
65dff5681c41b960f8a83a4b;7685239;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;PM10;27/02/2024;26/02/2024;2006;5
65dff5681c41b960f8a83a4c;7685263;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;SO2;27/02/2024;26/02/2024;2006;1
65dff5681c41b960f8a83a4d;7685271;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;SO2;28/02/2024;27/02/2024;2006;1
65dff5681c41b960f8a83a4e;7685296;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;NO2;28/02/2024;27/02/2024;2006;8
65dff5681c41b960f8a83a4f;7685297;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;PM2.5;28/02/2024;27/02/2024;2006;6001
65dff5681c41b960f8a83a50;7685327;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;PM10;28/02/2024;27/02/2024;2006;5
65dff5681c41b960f8a83a51;7685353;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;O3;28/02/2024;27/02/2024;2006;7
65dff5681c41b960f8a83a52;7685386;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;NO2;29/02/2024;28/02/2024;2006;8
65dff5681c41b960f8a83a53;7685410;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;PM10;29/02/2024;28/02/2024;2006;5
65dff5681c41b960f8a83a54;7685426;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;NO2;29/02/2024;27/02/2024;2006;8
65dff5681c41b960f8a83a55;7685438;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Ouest Ain;PM10;29/02/2024;27/02/2024;2006;5
